"Timestamp","R1","R2","R3","R4","R5","R6","R7","R8","R9","R10","R11","R12","R13","R14","R15","R16","R17","R18","R19","R20","R21","R22","R23","R24","R25","R26","R27","R28","R29","R30","R31","R32","R33","R34","R35","R36","R37","R38","R39","R40","R41","R42","R43","R44","R45","R46","R47","R48","R49","R50","R51","R52","R53","R54","R55","R56","R57","R58","R59","R60","R61","R62","R63","R64","R65","R66","R67","R68","R69","R70","R71","R72","R73","R74","R75","R76","R77","R78","R79","R80","R81","R82","R83","R84","R85","R86","R87","R88","R89","R90","R91","R92","R93","R94","R95","R96","R97","R98","R99","R100"
"2014-09-01 00:01:25",53845,53835,53832,53853,53799,53844,53850,53764,53839,53867,53791,45055,51849,53865,53831,51906,53793,53803,53781,53864,53863,53763,51999,50279,42596,52005,53820,53798,45036,51853,53783,51887,53819,53827,46744,51916,53773,53866,53855,50341,50336,50914,53851,53813,46237,53756,43217,51970,42681,45051,51862,46741,51953,51869,48499,53797,53826,53790,48529,53825,53824,50702,46175,53816,50410,53788,48582,51859,50313,51998,51994,41421,41474,41981,48568,51881,48628,51850,53859,50305,42056,50372,53779,53789,51995,46236,53759,51892,45054,50443,53830,48611,50449,53814,42627,53809,46761,53800,53857,45182
"2014-09-01 00:31:25",53845,53835,53832,53799,53853,53844,52010,53865,53850,53764,53791,53839,53867,53793,53830,45055,53831,53820,51849,51933,53781,53813,53864,53860,53797,53803,52005,53773,50279,53763,53863,51999,42596,53819,53868,51853,53857,53837,53783,51887,53756,51916,53796,53866,50914,50341,46744,50336,53804,46237,53790,51953,41978,43217,42681,51970,45051,53854,53827,53858,51869,51862,53800,53798,48499,45036,48512,53784,51859,53841,50702,53788,48529,53846,53826,46175,51994,53816,53825,51984,48582,50313,51879,51850,53855,41421,41474,51998,41981,51881,50305,53809,48628,53759,53814,50372,41411,51995,46236,51892
"2014-09-01 01:01:25",53845,53835,53832,53799,53853,53844,52010,53865,53831,53850,53764,53791,53839,53867,53793,53830,45055,53820,51849,51933,53781,53813,53864,53860,53797,53803,52005,53773,50279,53763,53863,51999,42596,53819,53868,51853,53857,53837,53783,51887,53756,51916,53796,50914,50341,53866,46744,50336,53804,46237,53790,51953,41978,43217,42681,51970,45051,53854,53827,53858,51869,51862,53800,53798,48499,45036,48512,53784,51859,53841,50702,53788,48529,53846,53826,46175,51994,53816,53825,51984,48582,50313,51879,51850,53859,53855,41421,41474,51998,41981,51881,50305,53809,48628,53759,53814,50372,41411,51995,46236
"2014-09-01 01:31:25",53845,53832,53835,53799,53853,53856,52010,53865,53831,53764,53850,53791,53839,53793,53830,45055,53820,51849,51933,53781,53813,53864,53860,53797,53803,52005,53773,50279,53763,53863,51999,42596,53819,53868,51853,53857,53837,53783,51887,53756,51916,53796,50914,50341,46744,50336,53866,53804,46237,53790,51953,41978,43217,42681,51970,45051,53854,53827,53858,51869,51862,53800,53798,48499,45036,48512,53784,51859,53841,50702,53788,48529,53846,53826,46175,51994,53816,53825,51984,48582,50313,51879,51850,53859,53855,41421,41474,51998,41981,51881,50305,53809,48628,53759,53814,50372,41411,51995,46236,51892
"2014-09-01 02:01:25",53845,53835,53832,53799,53853,53856,52010,53865,53764,53831,53791,53850,53839,53793,53830,45055,53820,51849,51933,53781,53813,53864,53860,53797,53803,52005,53773,50279,53763,53863,51999,42596,53819,53868,51853,53857,53837,53783,51887,53756,51916,53796,50914,50341,46744,50336,53804,53866,46237,53790,51953,41978,43217,42681,51970,45051,53854,53827,53858,51869,51862,53800,53798,48499,45036,48512,53784,51859,53841,50702,53788,48529,53846,53826,46175,51994,53816,53825,51984,48582,50313,51879,51850,53859,53855,41421,41474,51998,41981,51881,50305,53809,48628,53759,53814,50372,41411,51995,46236,51892
"2014-09-01 02:31:25",53845,53835,53832,53799,53853,53856,52010,53865,53764,53831,53791,53850,53839,53793,53830,45055,53820,51849,51933,53781,53813,53864,53860,53797,53803,52005,53773,50279,53763,53863,51999,42596,53819,53868,51853,53857,53837,53783,51887,53756,51916,53796,50914,50341,46744,50336,53804,46237,53866,53790,51953,41978,43217,42681,51970,45051,53854,53827,53858,51869,51862,53800,53798,48499,45036,48512,53784,51859,53841,50702,53788,48529,53846,53826,46175,51994,53816,53825,51984,48582,50313,51879,51850,53859,53855,41421,41474,51998,41981,51881,50305,53809,48628,53759,53814,50372,41411,51995,46236,51892
"2014-09-01 03:01:25",53845,53835,53832,53799,53853,53856,52010,53865,53764,53791,53831,53850,53839,53793,53830,45055,53820,51849,51933,53781,53813,53864,53860,53797,53803,52005,53773,50279,53763,53863,51999,42596,53819,53868,51853,53857,53837,53783,53869,51887,53756,51916,53796,50914,50341,46744,50336,53804,46237,53866,53790,51953,41978,43217,42681,51970,45051,53854,53827,53858,51869,51862,53800,53798,48499,45036,48512,53784,51859,53841,50702,53788,48529,53846,53826,46175,51994,53816,53825,51984,48582,50313,51879,51850,53859,53855,41421,41474,51998,41981,51881,50305,53809,48628,53759,53814,50372,41411,51995,46236
"2014-09-01 03:31:25",53845,53835,53832,53799,53853,53823,53865,53760,53764,53791,53831,53850,53793,53830,53839,45055,53820,51849,53813,53870,53864,51906,52005,53803,53781,53860,53863,42596,51999,53819,53763,51853,53817,53783,51887,53756,51916,53773,53797,53796,53857,53868,50279,53837,53869,50341,46744,50336,50410,50702,50914,46237,53790,51953,53866,43217,42681,45051,51970,53858,51862,53800,53827,53804,51869,48499,42056,53798,45036,48512,53784,53854,53841,48529,53846,53826,46175,51984,48582,51879,53859,51859,41474,51994,41981,51881,51998,53809,53825,48628,53759,53814,53855,50372,51850,51995,46236,51892,48568,52000
"2014-09-01 04:01:25",53845,53835,53832,53799,53853,53823,53865,53760,53764,53791,53831,53850,53793,53830,53839,45055,53820,51849,53813,53870,53864,51906,52005,53803,53781,53860,53863,42596,51999,53819,53763,51853,53817,53783,51887,53756,51916,53773,53797,53796,53857,53868,50279,53837,53869,50341,46744,50336,50410,50702,50914,46237,53790,51953,43217,42681,53866,45051,51970,53858,51862,53800,53827,53804,51869,48499,42056,53798,45036,48512,53784,53854,53841,48529,53846,53826,46175,51984,48582,51879,53859,51859,41474,51994,41981,51881,51998,53809,53825,48628,53759,53814,53855,50372,51850,51995,46236,51892,48568,52000
"2014-09-01 04:31:25",53845,53835,53832,53799,53853,53823,53865,53760,53764,53791,53831,53850,53793,53830,53839,45055,53820,51849,53813,53870,53864,51906,52005,53803,53781,53860,53863,42596,51999,53819,53763,51853,53783,51887,53756,51916,53773,53797,53796,53857,53868,50279,53837,53869,50341,46744,50336,50410,50702,50914,46237,53790,51953,43217,42681,45051,53866,51970,53858,51862,53800,53827,53804,51869,48499,42056,53798,45036,48512,53784,53854,53841,48529,53846,53826,46175,51984,48582,51879,53859,51859,41474,51994,41981,51881,51998,53809,53825,48628,53759,53814,53808,53855,50372,51850,51995,46236,51892,48568,52000
"2014-09-01 05:01:25",53845,53835,53832,53853,53799,53844,53831,53764,53850,53791,53839,45055,51849,51906,53793,53870,53851,53864,53865,53803,50279,53781,42596,51999,53820,53763,53798,52005,51853,53857,53783,53819,53827,51887,46744,51916,53773,53868,53855,50341,50336,53869,53863,53837,46237,50914,53756,43217,42681,45051,53866,53813,51970,46741,51862,51869,48499,45036,51953,51859,53790,48529,53824,50702,46175,53854,53788,48582,53797,50410,50313,53816,41421,41474,53826,41981,53796,51994,51881,51998,51850,48628,50305,42056,53789,50372,53825,46236,53759,51892,48568,45054,51995,53859,50443,53779,48611,53814,53809,42627
"2014-09-01 05:31:25",53845,53835,53832,53853,53799,53844,53831,53764,53850,53791,45055,51849,53865,51852,53870,53851,53793,53864,53839,53803,50279,53781,42596,51999,53763,52005,53857,51887,53798,51853,53820,53773,53783,53827,53868,50341,50336,53869,53819,46744,53837,53863,51916,46237,50914,43217,45051,53756,42681,53854,53813,53866,48512,51862,53855,53797,48499,45036,51869,51953,48529,46175,50702,48582,53790,53784,50313,50410,53816,53788,42628,41981,51998,53824,48628,51881,42056,50305,51994,50372,51850,46236,53825,48568,45054,51995,51892,50443,42627,53859,53779,53759,48611,45182,44977,45107,46722,53809,53830,51937
"2014-09-01 06:01:25",53845,53835,53832,53853,53799,53844,53831,53764,53850,53791,53850,53831,53793,53830,53839,45055,53820,51849,53813,53870,50279,53781,42596,51999,53763,52005,53857,51887,53798,51853,53820,53773,53783,53827,53868,50341,50336,53819,46744,53837,53863,51916,46237,50914,43217,45051,53756,42681,53854,53813,53790,51953,43217,42681,45051,51970,53858,51862,53800,53827,46175,50702,48582,53790,53784,50313,50410,53816,53788,42628,41981,51998,53824,48628,51881,42056,50305,51994,50372,51850,46236,53825,48568,45054,51995,51892,50443,42627,53859,53779,53759,48611,45182,44977,45107,46722,53809,53830,51937,45220
"2014-09-01 06:31:25",53845,53835,53832,53799,53853,53823,53865,53760,53764,53791,53850,53831,53793,53839,45055,53820,51849,53813,53870,53864,51906,52005,53781,53860,53863,42596,51999,53819,53763,51853,53817,53783,51887,53756,51916,53773,53797,53796,53857,53868,50279,53837,50341,46744,50336,50410,50702,50914,46237,53790,51953,43217,42681,45051,51970,53858,51862,53800,53827,53804,51869,53871,48499,42056,53798,45036,48512,53784,53854,53841,48529,53846,53826,46175,51984,48582,51879,53859,51859,41474,51994,41981,51881,51998,53809,53825,48628,53759,53814,53808,53855,50372,51850,51995,46236,51892,48568,52000,45054,53849
"2014-09-01 07:01:25",53845,53835,53832,53799,53853,53823,53865,53760,53764,53791,53850,53831,53793,53839,45055,53820,51849,53813,53870,53864,51906,52005,53781,53860,53863,42596,51999,53819,53763,51853,53817,53783,51887,53756,51916,53773,53797,53796,53857,53868,50279,53837,50341,46744,50336,50410,50702,50914,46237,53790,51953,43217,42681,45051,51970,53858,51862,53800,53827,53804,51869,48499,42056,53798,45036,48512,53784,53871,53854,53841,48529,53846,53826,46175,51984,48582,51879,53859,51859,41474,51994,41981,51881,51998,53809,53825,48628,53759,53814,53808,53855,50372,51850,51995,46236,51892,48568,52000,45054,53849
"2014-09-01 07:31:25",53845,53835,53799,53832,53853,53823,53865,53760,53764,53791,53872,53831,53793,53850,45055,53820,51849,53839,53813,53864,51906,52005,53870,53848,42596,51999,53819,51853,53781,53860,53857,53763,53827,53783,53756,51916,53773,53797,53796,51887,50279,46744,50341,50410,50336,50702,53868,46237,53790,50914,51953,42681,43217,53837,45051,53863,53858,51862,53800,51970,53804,51869,42056,53798,48499,48512,53784,45036,53854,53871,53841,48529,53846,46175,51984,48582,51859,51879,41474,51994,41981,51881,53809,53825,51998,48628,53759,53826,53814,51995,50372,51892,52000,53849,45054,48568,51850,51937,53755,42627
"2014-09-01 08:01:25",53845,53835,53799,53832,53853,53823,53865,53764,53842,53791,53872,53831,53793,53850,45055,53820,51849,53839,53813,53864,51906,52005,53870,53848,42596,51999,53819,51853,53781,53860,53857,53763,53827,53783,53756,51916,53773,53797,53796,51887,50279,46744,50341,50410,50336,50702,53868,46237,53790,50914,51953,42681,43217,53837,45051,53863,53858,51862,53800,51970,53804,51869,42056,53798,48499,46741,53784,45036,53841,48529,53871,53846,46175,51984,48582,51859,51879,41474,51994,41981,51881,53809,53825,51998,48628,53759,53826,53814,51995,50372,51892,52000,53849,45054,48568,51850,51937,53755,42627,50443
"2014-09-01 08:31:25",53845,53835,53799,53832,53853,53823,53865,53764,53842,53791,53831,53872,53793,53850,45055,53820,51849,53839,53813,53864,51906,52005,53870,53848,42596,51999,53819,51853,53781,53860,53857,53763,53827,53783,53756,51916,53773,53797,53796,51887,50279,46744,50341,50410,50336,50702,53868,46237,53790,50914,51953,42681,43217,53837,45051,53863,53858,51862,53800,51970,53804,51869,42056,53798,48499,46741,53784,45036,53841,48529,53846,46175,53871,51984,48582,51859,51879,41474,51994,41981,51881,53809,53825,51998,48628,53759,53826,53814,51995,50372,51892,53873,52000,53849,45054,48568,51850,51937,53755,42627
"2014-09-01 09:01:25",53845,53835,53799,53832,53853,53823,53865,53874,53764,53842,53791,53831,53872,53793,53850,45055,53820,51849,53839,53813,53864,51906,52005,53870,53848,42596,51999,53819,51853,53781,53860,53857,53763,53827,53783,53756,51916,53773,53797,53796,51887,50279,46744,50341,50410,50336,50702,53868,46237,53790,50914,51953,42681,43217,53837,45051,53863,53858,51862,53800,51970,53804,51869,42056,53798,48499,46741,53784,45036,53841,48529,53846,46175,53871,51984,48582,51859,51879,41474,51994,41981,51881,53809,53825,51998,48628,53759,53826,53814,51995,50372,51892,53873,52000,53849,45054,48568,51850,51937,53755
"2014-09-01 09:31:25",53845,53835,53799,53832,53853,53867,53865,53760,53764,53842,53791,53831,53793,53850,53872,45055,53820,51849,53839,53813,53864,51906,52005,53870,53848,42596,51999,53819,51853,53781,53860,53857,53763,53827,53783,53756,51916,53773,53797,53796,51887,50279,46744,50341,50410,50336,50702,53868,46237,53790,50914,51953,42681,43217,53837,45051,53863,53858,51862,53800,51970,53804,51869,53875,42056,53798,48499,46741,53784,45036,53841,48529,53846,46175,51984,53871,48582,51859,51879,41474,51994,41981,51881,53809,53825,51998,48628,53759,53826,53814,51995,50372,51892,52000,53849,45054,48568,51850,51937,53755
"2014-09-01 10:01:25",53845,53835,53799,53832,53853,53823,53865,53760,53764,53791,53831,53793,53850,53872,45055,53820,51849,53839,53813,53864,51906,52005,53870,53848,42596,51999,53819,51853,53781,53860,53857,53763,53827,53783,53756,51916,53773,53797,53796,51887,50279,46744,50341,50410,50336,50702,53868,46237,53790,50914,51953,42681,43217,53837,45051,53863,53858,51862,53800,51970,53804,51869,42056,53798,48499,46741,53784,53875,45036,53854,53841,48529,53846,46175,51984,48582,53871,51859,51879,41474,51994,41981,51881,53809,53825,51998,48628,53759,53826,53814,51995,50372,51892,52000,53849,45054,48568,51850,51937,53755
"2014-09-01 10:31:25",53845,53835,53799,53832,53853,53823,53865,53760,53764,53791,53831,53793,53850,53872,45055,53820,51849,53839,53813,53864,51906,52005,53870,53848,42596,51999,53819,51853,53781,53860,53857,53763,53827,53783,53756,51916,53773,53797,53796,51887,50279,46744,50341,50410,50336,50702,53868,46237,53790,50914,51953,42681,43217,53837,45051,53863,53858,51862,53800,53876,51970,53804,51869,42056,53798,48499,46741,53784,45036,53854,53875,53841,48529,53846,46175,51984,48582,53871,51859,51879,41474,51994,41981,51881,53809,53825,51998,48628,53759,53826,53814,51995,50372,51892,52000,53849,45054,48568,51850,51937
"2014-09-01 11:01:25",53845,53835,53799,53832,53853,53877,53878,53865,53760,53876,53764,53842,53791,53831,53793,53850,45055,53820,53872,51849,53839,53813,53864,51906,52005,53870,53848,42596,51999,53819,51853,53781,53860,53857,53763,53827,53783,53756,51916,53773,53797,53796,51887,50279,46744,50341,50410,50336,50702,53868,46237,53790,50914,51953,42681,43217,53837,45051,53873,53863,53858,51862,53800,51970,53804,51869,42056,53798,48499,46741,53784,45036,53841,48529,53846,46175,51984,48582,51859,51879,41474,51994,53871,41981,51881,53809,53825,51998,48628,53759,53826,53814,51995,50372,51892,52000,53849,45054,48568,51850
"2014-09-01 11:31:25",53845,53799,53835,53832,53879,53877,53853,53878,53865,53760,53876,53764,53842,53791,53793,53833,53872,45055,53831,53820,53880,53850,51849,53813,53864,51858,52005,53839,53881,53848,42596,53819,51853,53870,53783,51999,53781,53763,53756,51916,53827,53773,53797,53796,51887,50279,46744,53857,50410,50341,50702,50336,46237,53790,51953,42681,43217,50914,45051,53873,51859,53858,53800,53804,51869,51862,53868,42056,46741,53784,48499,45036,51970,53841,48529,53846,46175,53798,53863,53837,53851,48582,41474,51994,41981,51881,51879,53871,53809,53825,51998,53759,48628,53814,51995,50372,51892,52000,53849,45054
"2014-09-01 12:01:25",53845,53799,53835,53832,53879,53823,53853,53878,53865,53760,53876,53764,53842,53791,53793,53872,45055,53831,53820,53880,53850,51849,53813,53864,51858,52005,53839,53881,53848,42596,53819,51853,53870,53783,51999,53781,53763,53756,51916,53827,53773,53797,53796,51887,50279,46744,53857,50410,50341,50702,50336,46237,53790,51953,42681,43217,50914,45051,51859,53873,53858,53800,53804,51869,51862,53868,42056,46741,53784,48499,45036,51970,53841,48529,53846,46175,53798,53863,53837,53851,48582,41474,51994,41981,51881,51879,53871,53809,53825,51998,53759,48628,53814,51995,50372,51892,52000,53849,45054,48568
"2014-09-01 12:31:25",53882,53835,53832,53878,53799,53877,53853,53876,53760,53791,53764,45055,53872,53831,51849,53850,53865,51852,53851,53793,53839,53842,50279,42596,53864,51999,53870,53803,53781,52005,53763,53827,53798,51853,51887,53820,53783,50341,53773,50336,53819,53860,53857,46744,46237,51916,43217,50914,45051,42681,51859,53756,53873,48512,53855,53797,51862,48499,45036,51869,51970,53868,53881,53837,48529,53813,51953,46175,50702,48582,53863,53790,53784,50313,50410,53788,42628,41981,51879,53824,53871,51881,48628,42056,50305,51994,51850,50372,46236,53796,51998,45054,51892,48568,53859,53759,50443,48611,53826,42627
"2014-09-01 13:01:25",53882,53835,53832,53878,53877,53799,53853,53876,53760,53791,53764,45055,53872,53831,51849,53850,53865,51852,53851,53793,53839,53842,50279,42596,53864,51999,53870,53803,53781,52005,53763,53827,53798,51853,51887,53820,53783,50341,53773,50336,53819,53860,53857,46744,46237,51916,43217,50914,45051,42681,51859,53756,48512,53873,53855,53797,51862,48499,45036,51869,51970,53868,53881,53837,48529,53813,51953,46175,50702,48582,53863,53790,53784,50313,50410,53788,42628,41981,51879,53824,53871,51881,48628,42056,50305,51994,51850,50372,46236,53796,51998,45054,51892,48568,53859,53759,50443,48611,53826,42627
"2014-09-01 13:31:25",53882,53835,53832,53856,53878,53799,53853,53876,53760,53764,53791,53872,53831,45055,51849,53850,53851,51933,53842,53839,42596,50279,53793,53864,53865,51999,53870,53781,53803,53763,53820,53827,52005,51887,53813,51853,50341,53798,50336,53773,46744,46237,53797,53860,53857,53783,43217,51916,50410,45051,50914,42681,51859,53819,53873,51862,53756,48499,45036,51869,51970,48512,53868,48529,51953,46175,50702,48582,53837,53855,53863,50313,42628,41981,51879,48628,42056,53871,51881,53790,53784,50372,51994,46236,51998,45054,48568,51850,51892,50443,42627,51995,45107,53824,48611,45182,44977,46722,50311,53846
"2014-09-01 14:01:25",53845,53799,53835,53832,53879,53878,53823,53853,53865,53760,53764,53842,53791,53876,53793,53883,53833,45055,53831,53872,53820,53880,53850,51849,53813,53864,51858,52005,53839,53881,53848,42596,53819,51853,53870,53783,51999,53781,53763,53756,51916,53827,53773,53797,53796,51887,50279,46744,53857,50410,50341,50702,50336,46237,53790,51953,42681,43217,50914,45051,51859,53858,53800,53804,51869,51862,53868,42056,46741,53784,48499,45036,51970,53841,48529,53846,46175,53798,53863,53837,53851,48582,41474,51994,41981,51881,51879,53809,53825,51998,53759,48628,53814,51995,53871,50372,51892,52000,53849,45054
"2014-09-01 14:31:25",53845,53799,53835,53832,53879,53823,53878,53853,53865,53760,53764,53842,53791,53876,53793,53883,53833,45055,53831,53820,53872,53880,53850,51849,53813,53864,51858,52005,53839,53881,53848,42596,53819,51853,53870,53783,51999,53781,53763,53756,51916,53827,53773,53797,53796,51887,50279,46744,53857,50410,50341,50702,50336,46237,53790,51953,42681,43217,50914,45051,51859,53858,53800,53804,51869,51862,53868,42056,46741,53784,48499,45036,51970,53841,48529,53846,46175,53798,53863,53837,53851,48582,41474,51994,41981,51881,51879,53809,53825,51998,53759,48628,53814,51995,50372,51892,53871,53884,52000,53849
"2014-09-01 15:01:25",53882,53799,53835,53832,53879,53823,53878,53853,53865,53760,53764,53842,53791,53876,53793,53833,45055,53840,53831,53820,53872,53880,53850,51849,53813,53864,51858,52005,53839,53881,53848,42596,53819,51853,53870,53783,51999,53781,53763,53756,51916,53827,53773,53797,53796,51887,50279,46744,53857,50410,50341,50702,50336,46237,53790,51953,42681,43217,50914,45051,51859,53858,53800,53804,51869,51862,53868,42056,46741,53784,48499,45036,51970,53841,48529,53846,46175,53798,53863,53837,53851,48582,41474,51994,41981,51881,51879,53809,53825,51998,53759,48628,53814,51995,50372,51892,52000,53885,53849,53884
"2014-09-01 15:31:25",53882,53835,53832,53878,53877,53799,53853,53876,53760,53764,53831,45055,53840,53833,53791,53872,53886,51849,53851,53850,51858,53887,53842,42596,53839,53793,53864,53865,51999,53781,53763,53803,53820,51887,53827,52005,51853,50279,53813,53773,50341,53888,50336,53798,50410,50702,46744,46237,43217,53797,53783,45051,51916,42681,50914,53857,51859,53860,53868,51862,53819,45036,48499,53756,48512,53858,53889,51970,53796,53870,51869,53890,53873,48529,46175,53837,51953,53891,48582,42628,41981,51879,53855,53863,53784,48628,41982,51881,50372,53884,53790,53885,45054,51998,48568,51969,50443,52000,42627,51892
"2014-09-01 16:01:25",53882,53835,53832,53878,53892,53799,53853,53876,53893,53760,53831,53764,45055,53833,53840,53791,53872,51849,53850,51852,53887,42596,53839,53793,53842,51999,53763,53864,51887,53820,51853,52005,50279,53813,50341,50410,53798,46744,50702,53773,46237,53781,43217,50336,53797,51916,53848,45051,53783,42681,51859,53857,50914,45036,53819,48499,53858,51862,51869,53756,46741,53796,53889,48529,53890,46175,51953,53843,48582,53891,51970,42628,41981,53869,51879,53851,53855,53863,48628,41982,53884,51881,53873,50372,51994,53790,53784,48568,53885,51998,51892,45054,50443,42627,52000,45107,45182,48611,44977,46236
"2014-09-01 16:31:25",53882,53835,53832,53892,53878,53799,53879,53853,53876,53893,53760,53831,53764,45055,53833,53791,53840,53872,53886,51849,53851,53850,51858,53842,42596,53839,53887,53793,53864,53865,51999,53781,53763,53803,53820,51887,53827,52005,51853,50279,53813,53773,50341,53888,50336,53798,50410,50702,46744,46237,43217,53797,53783,45051,51916,42681,50914,53857,51859,53860,53868,51862,53819,45036,48499,53756,48512,53858,51970,53796,51869,53890,53873,48529,53889,46175,51953,48582,53891,53869,42628,41981,51879,53855,53863,53784,53894,48628,53884,41982,51881,50372,53790,45054,51998,48568,51969,53885,50443,52000
"2014-09-01 17:01:25",53882,53835,53832,53877,53799,53878,53879,53853,53844,53876,53760,53764,53831,45055,53833,53791,53872,53840,53886,51849,53851,53895,53850,51858,53842,42596,53839,53887,53793,53864,53865,51999,53781,53763,53803,53820,51887,53827,52005,51853,50279,53813,53773,50341,53888,50336,53798,50410,50702,46744,46237,43217,53797,53783,45051,51916,42681,50914,53857,51859,53860,53868,51862,53819,45036,48499,53756,48512,53858,51970,53796,51869,53890,53873,48529,46175,53889,51953,48582,53891,53869,42628,41981,51879,53855,53863,53784,48628,53884,41982,51881,50372,53790,45054,51998,48568,51969,53885,50443,52000
"2014-09-01 17:31:25",53882,53835,53832,53877,53878,53799,53879,53853,53844,53876,53760,53764,53831,45055,53833,53791,53840,53886,51849,53851,53872,53850,51858,53842,42596,53839,53793,53864,53887,53865,51999,53781,53763,53803,53820,51887,53827,52005,53884,51853,50279,53813,53773,50341,53888,50336,53798,50410,50702,46744,46237,43217,53797,53783,45051,51916,42681,50914,53857,51859,53860,53868,51862,53819,45036,48499,53756,48512,53858,51970,53796,51869,53890,53873,48529,46175,51953,53889,48582,53869,42628,53891,41981,51879,53855,53863,53784,48628,41982,51881,50372,53790,45054,51998,48568,51969,50443,52000,53885,42627
"2014-09-01 18:01:25",53882,53835,53832,53896,53877,53799,53878,53879,53853,53876,53760,53764,53831,45055,53833,53791,53840,51849,53872,53850,53850,42596,53887,53839,53793,51999,53842,51887,53864,53884,53820,51853,50279,52005,50341,53813,50410,46744,50702,53798,46237,53773,43217,53844,50336,53781,45051,51916,53797,42681,53848,53783,51859,53763,50914,45036,48499,53858,51862,51869,46741,53819,53756,53796,48529,53897,46175,51953,53873,53890,48582,53843,51970,42628,41981,53891,51879,53869,48628,41982,53851,53784,53855,51881,53863,50372,51994,48568,53790,51892,45054,51998,50443,42627,53885,52000,45107,45182,48611,44977
"2014-09-01 18:31:25",53882,53835,53832,53877,53878,53799,53879,53853,53760,53876,53764,45055,53831,53833,53791,53840,51849,53872,53850,51852,53887,53793,53839,51999,53842,51887,53884,51853,50279,53820,52005,50341,53813,50410,46744,50702,53798,46237,53773,43217,50336,53844,53781,45051,51916,42681,53797,51859,53848,53783,53763,50914,45036,48499,53858,51862,51869,46741,53819,53756,48529,53796,46175,53897,51953,53889,48582,53873,53890,53843,42628,51970,41981,51879,53891,48628,41982,53869,53784,53851,53855,51881,50372,53863,51994,48568,53790,51892,45054,42627,50443,51998,53885,52000,45107,45182,48611,44977,46236,46722
"2014-09-01 19:01:25",53882,53835,53832,53896,53799,53878,53879,53853,53876,53764,45055,53831,53833,53791,53840,51849,53872,51852,53850,42596,53793,53887,51999,53842,51887,51853,50279,53820,53884,52005,50341,53813,50410,46744,50702,53839,53798,46237,53773,43217,50336,53844,53781,45051,51916,42681,53797,51859,53848,53783,53763,50914,45036,48499,53858,51862,51869,46741,53819,53756,48529,53796,46175,53897,51953,48582,53873,53889,53890,53843,42628,51970,41981,53898,51879,53891,48628,41982,53869,53784,53851,53855,51881,50372,53863,51994,48568,53790,51892,45054,42627,50443,51998,52000,45107,53885,45182,48611,44977,46236
"2014-09-01 19:31:25",53882,53835,53832,53876,53896,53799,53878,53879,53853,53844,53760,53764,45055,53791,53831,53833,53840,51849,53850,51906,51906,42596,53850,53793,53839,53887,53865,51999,53842,53827,51887,53781,53899,53803,53884,51853,52005,50279,53820,50341,50336,53773,50410,46744,53813,50702,46237,43217,53888,45051,51916,42681,53797,51859,50914,53783,51862,53763,45036,48499,53858,48512,53860,51869,53756,53857,53819,48529,51970,53796,46175,53869,53897,53868,51953,48582,53873,53889,53798,53837,42628,41981,53890,53898,51879,48628,41982,53891,53784,51881,53855,50372,45054,48568,53863,51969,53790,51998,42627,50443
"2014-09-01 20:01:25",53882,53835,53832,53876,53799,53896,53878,53879,53853,53844,53760,53764,45055,53831,53833,53791,53840,51849,53851,53872,51906,42596,53850,53793,53839,53887,53865,51999,53842,53827,51887,53781,53899,53803,51853,52005,50279,53820,50341,50336,53773,50410,46744,53813,50702,46237,43217,53888,45051,51916,42681,53797,51859,50914,53783,53884,51862,53763,45036,48499,53858,48512,53860,51869,53756,53857,53819,48529,51970,53796,46175,53869,53868,53897,51953,48582,53873,53889,53798,53837,42628,41981,53890,51879,53898,48628,41982,53891,53784,51881,53855,50372,45054,48568,53863,51969,53790,51998,42627,50443
"2014-09-01 20:31:25",53882,53835,53832,53799,53876,53896,53878,53879,53853,53844,53760,53764,45055,53831,53833,53791,51849,53851,51906,53872,42596,53850,53793,53839,53865,51999,53887,53842,53827,51887,53781,53899,53803,51853,52005,50279,53820,50341,50336,53773,50410,46744,53813,50702,46237,43217,53888,45051,51916,42681,53797,51859,50914,53783,51862,53884,53763,45036,48499,53858,48512,53860,51869,53756,53857,53819,48529,51970,53796,46175,53869,53868,51953,48582,53897,53873,53889,53798,53837,42628,41981,53890,51879,48628,41982,53898,53784,51881,53891,53855,50372,45054,48568,53863,51969,53790,51998,42627,50443,51892
"2014-09-01 21:01:25",53882,53896,53835,53832,53799,53876,53878,53879,53853,53844,53760,53764,45055,53831,53833,53791,51849,53851,51906,53872,42596,53850,53793,53839,53865,51999,53842,53887,53827,51887,53781,53899,53803,51853,52005,50279,53820,50341,50336,53773,50410,46744,53813,50702,46237,43217,53888,45051,51916,42681,53797,51859,50914,53783,51862,53763,53884,45036,48499,53858,48512,53860,51869,53756,53857,53819,48529,51970,53796,46175,53869,53868,51953,48582,53897,53873,53889,53798,53837,42628,41981,53890,51879,48628,41982,53898,53784,51881,53855,50372,53891,45054,48568,53863,51969,53790,51998,42627,50443,51892
