"Timestamp","R1","R2","R3","R4","R5","R6","R7","R8","R9","R10","R11","R12","R13","R14","R15","R16","R17","R18","R19","R20","R21","R22","R23","R24","R25","R26","R27","R28","R29","R30","R31","R32","R33","R34","R35","R36","R37","R38","R39","R40","R41","R42","R43","R44","R45","R46","R47","R48","R49","R50","R51","R52","R53","R54","R55","R56","R57","R58","R59","R60","R61","R62","R63","R64","R65","R66","R67","R68","R69","R70","R71","R72","R73","R74","R75","R76","R77","R78","R79","R80","R81","R82","R83","R84","R85","R86","R87","R88","R89","R90","R91","R92","R93","R94","R95","R96","R97","R98","R99","R100"
"2014-09-01 00:01:28",53438,53479,53432,53512,53237,53511,53369,53469,53441,53464,53427,53522,53321,53418,53271,53514,53480,53485,53144,53491,53430,53385,53304,53492,53404,53259,53460,53215,53328,53386,53309,53494,53487,53521,53180,53431,53374,53316,53428,53207,53359,53298,53400,53486,53168,53528,53070,53119,53505,53517,53361,53524,53303,53225,53310,53051,53424,53504,53112,53320,53327,53488,53364,53518,53461,53519,53375,53050,51820,53268,53019,53444,53356,53358,53138,53496,53475,53229,53039,53211,52960,53317,53293,51809,53090,51796,53140,53435,53089,53029,53462,53463,53205,53023,53445,53515,51784,53296,53527,53026
"2014-09-01 00:31:28",53438,53511,53479,53432,53512,53237,53469,53464,53529,53441,53427,53522,53418,53271,53514,53485,53520,53430,53491,53144,53385,53304,53404,53460,53492,53328,53215,53386,53309,53494,53259,53487,53530,53521,53431,53180,53459,53207,53316,53531,53321,53359,53400,53428,53298,53070,53523,53486,53506,53505,53517,53524,53525,53361,53310,53484,53119,53168,53303,53051,53112,53364,53424,53504,53488,53461,53327,53518,53375,53295,53519,53050,51820,53320,53339,53374,53268,53475,53019,53358,53532,53138,53356,53039,53526,53496,53229,52960,53476,53346,53211,53090,53435,53029,53293,53089,53317,51809,53296,53203
"2014-09-01 01:01:28",53438,53479,53432,53512,53237,53469,53529,53464,53441,53533,53427,53522,53271,53514,53485,53430,53520,53144,53385,53304,53404,53460,53492,53328,53215,53491,53386,53259,53309,53494,53530,53487,53431,53521,53180,53459,53207,53316,53531,53321,53359,53400,53428,53298,53070,53523,53486,53506,53524,53525,53505,53517,53361,53310,53484,53119,53496,53168,53303,53051,53112,53364,53424,53488,53461,53504,53375,53295,53050,51820,53327,53320,53518,53519,53339,53374,53268,53475,53019,53532,53358,53138,53356,53039,53526,53229,52960,53476,53346,53211,53090,53435,53029,53293,53089,53317,51809,53296,53203,53495
"2014-09-01 01:31:28",53438,53479,53432,53512,53237,53469,53534,53529,53441,53464,53427,53271,53522,53520,53514,53485,53430,53144,53385,53304,53404,53460,53492,53328,53215,53535,53517,53491,53386,53259,53309,53530,53494,53487,53431,53531,53180,53521,53207,53316,53326,53321,53359,53400,53298,53070,53523,53506,53524,53486,53525,53310,53361,53484,53505,53119,53168,53303,53051,53112,53496,53364,53424,53488,53461,53375,53295,53504,53050,51820,53320,53339,53327,53518,53519,53374,53475,53268,53019,53532,53138,53356,53358,53039,53526,53229,52960,53476,53346,53211,53090,53435,53029,53293,53089,53317,51809,53296,53203,53495
"2014-09-01 02:01:28",53510,53536,53432,53512,53237,53534,53469,53464,53529,53441,53427,53271,53522,53520,53514,53485,53430,53144,53479,53385,53304,53404,53460,53328,53492,53215,53491,53517,53386,53259,53309,53530,53431,53494,53180,53487,53207,53531,53316,53326,53521,53321,53359,53400,53298,53070,53523,53506,53524,53525,53486,53310,53361,53484,53119,53168,53303,53505,53051,53112,53364,53424,53496,53488,53461,53375,53295,53050,51820,53320,53339,53504,53374,53327,53475,53519,53019,53518,53268,53532,53138,53356,53039,53358,53526,53229,52960,53476,53346,53211,53090,53435,53029,53293,53089,53317,51809,53296,53537,53203
"2014-09-01 02:31:28",53510,53427,53420,53432,53512,53534,53237,53469,53529,53464,53441,53271,53538,53522,53485,53496,53430,53144,53408,53479,53385,53304,53404,53460,53539,53328,53215,53492,53491,53386,53259,53517,53309,53530,53431,53180,53494,53207,53487,53316,53326,53521,53531,53321,53359,53400,53298,53070,53523,53506,53403,53524,53525,53310,53361,53484,53540,53119,53486,53168,53303,53051,53112,53364,53424,53488,53461,53375,53295,53477,53050,53519,51820,53320,53339,53374,53504,53475,53195,53019,53327,53532,53268,53138,53518,53356,53039,53526,53541,53358,53229,52960,53476,53346,53211,53090,53435,53029,53293,53089
"2014-09-01 03:01:28",53510,53438,53427,53512,53432,53479,53420,53534,53237,53469,53529,53194,53441,53538,53271,53511,53496,53514,53485,53144,53430,53304,53517,53539,53404,53328,53215,53492,53386,53309,53259,53326,53494,53491,53487,53321,53521,53531,53431,53207,53180,53316,53359,53298,53460,53403,53070,53484,53540,53303,53051,53486,53361,53424,53470,53488,53542,53119,53112,53523,53519,53310,53502,53477,53339,53374,53528,53504,53532,53295,53461,53327,53506,53168,53375,53019,53268,53358,53050,53320,51820,53138,53518,53364,53229,53541,53356,53211,53543,53317,51809,53039,53296,52960,53140,53293,53537,53463,53090,53089
"2014-09-01 03:31:28",53510,53438,53427,53512,53432,53479,53534,53420,53237,53469,53529,53194,53441,53538,53271,53511,53496,53485,53144,53430,53304,53517,53539,53328,53404,53215,53386,53492,53309,53259,53326,53491,53321,53494,53521,53487,53400,53431,53207,53459,53180,53359,53298,53403,53460,53070,53484,53531,53303,53051,53540,53361,53424,53486,53470,53488,53542,53119,53112,53523,53502,53310,53519,53339,53374,53358,53532,53295,53461,53506,53168,53375,53504,53019,53050,53320,53268,51820,53138,53364,53229,53518,53195,53356,53541,53211,53543,53317,51809,53039,53296,52960,53140,53463,53090,53293,53089,53537,53389,53072
"2014-09-01 04:01:28",53510,53427,53438,53512,53432,53534,53420,53237,53194,53369,53479,53469,53529,53441,53538,53271,53511,53496,53485,53144,53430,53404,53304,53517,53539,53492,53309,53386,53259,53215,53491,53521,53494,53487,53431,53207,53459,53326,53180,53328,53321,53359,53428,53506,53544,53460,53403,53070,53531,53298,53361,53470,53540,53486,53542,53119,53051,53112,53523,53405,53502,53303,53339,53310,53424,53519,53358,53461,53327,53168,53375,53532,53019,53537,53320,53295,51820,53364,53268,53504,53050,53195,53488,53138,53356,53543,53541,53374,53039,53484,52960,53241,53229,51809,53089,53293,53211,53389,53090,53346
"2014-09-01 04:31:28",53510,53427,53512,53438,53534,53432,53420,53237,53194,53369,53479,53469,53506,53529,53441,53538,53271,53511,53496,53545,53485,53144,53430,53546,53404,53522,53304,53539,53492,53309,53259,53215,53491,53386,53521,53431,53207,53494,53459,53326,53487,53180,53328,53321,53359,53400,53403,53428,53544,53547,53460,53070,53298,53361,53470,53542,53119,53540,53486,53051,53112,53523,53405,53502,53303,53339,53310,53424,53519,53358,53461,53168,53375,53532,53019,53320,53295,51820,53364,53537,53050,53268,53195,53504,53488,53138,53356,53543,53374,53039,53541,52960,53229,53484,53241,51809,53089,53293,53211,53389
"2014-09-01 05:01:28",53510,53512,53427,53438,53534,53432,53479,53420,53237,53464,53469,53506,53529,53441,53538,53271,53496,53321,53545,53144,53485,53546,53430,53404,53304,53517,53539,53259,53492,53309,53386,53215,53460,53491,53494,53521,53487,53326,53207,53374,53431,53328,53180,53316,53396,53359,53403,53428,53298,53400,53119,53070,53361,53540,53051,53486,53405,53112,53303,53542,53310,53168,53502,53424,53358,53519,53364,53470,53019,53375,53537,53488,53268,53195,53050,53320,51820,53504,53327,53524,53138,53532,53541,53039,53461,52960,53229,53241,53395,53484,53196,53389,53090,51796,53293,53089,53211,53288,53140,53317
"2014-09-01 05:31:28",53510,53427,53438,53512,53534,53432,53479,53420,53237,53464,53469,53506,53529,53441,53538,53271,53496,53321,53545,53548,53144,53485,53546,53430,53404,53304,53517,53539,53259,53309,53492,53215,53386,53460,53491,53326,53207,53494,53374,53431,53328,53521,53487,53180,53459,53359,53403,53428,53298,53400,53119,53070,53051,53361,53540,53405,53112,53486,53303,53542,53310,53168,53502,53364,53424,53358,53519,53470,53019,53375,53488,53050,53268,53320,51820,53537,53504,53524,53327,53138,53532,53039,53461,53541,52960,53229,53395,53196,53241,53389,53090,51796,53484,53089,53211,53293,53288,53140,53317,53435
"2014-09-01 06:01:28",53427,53438,53512,53510,53432,53534,53420,53237,53194,53369,53506,53464,53529,53441,53538,53271,53496,53321,53548,53545,53485,53144,53430,53546,53404,53517,53304,53539,53259,53549,53309,53492,53215,53386,53460,53326,53207,53374,53431,53491,53328,53180,53521,53487,53459,53359,53403,53298,53428,53119,53298,53361,53470,53542,53119,53051,53112,53523,53405,53502,53303,53339,53540,53528,53424,53486,53310,53461,53327,53168,53375,53532,53019,53320,53295,51820,53364,53358,53050,53519,53488,53138,53356,53268,53543,53477,53374,53537,53039,53504,52960,53229,51809,53550,53089,53293,53211,53389,53090,53541
"2014-09-01 06:31:28",53438,53512,53510,53432,53534,53420,53237,53194,53369,53479,53469,53506,53529,53441,53514,53548,53551,53271,53511,53496,53545,53485,53430,53144,53546,53404,53304,53492,53539,53549,53259,53215,53309,53491,53386,53521,53552,53431,53207,53459,53326,53180,53328,53321,53359,53544,53487,53460,53070,53403,53298,53428,53361,53470,53542,53119,53051,53112,53523,53405,53502,53303,53339,53528,53424,53540,53461,53327,53168,53375,53310,53486,53532,53019,53320,53295,51820,53364,53358,53050,53519,53488,53138,53356,53543,53374,53039,53477,53537,52960,53504,53229,51809,53550,53089,53293,53211,53389,53090,53346
"2014-09-01 07:01:28",53438,53512,53510,53432,53534,53511,53420,53194,53237,53479,53506,53469,53529,53441,53548,53514,53551,53271,53496,53545,53485,53144,53546,53430,53304,53404,53492,53517,53549,53539,53553,53215,53386,53309,53521,53259,53552,53459,53326,53321,53530,53180,53207,53431,53491,53544,53460,53328,53359,53487,53554,53298,53403,53428,53051,53112,53405,53070,53303,53339,53361,53119,53424,53310,53019,53540,53295,53168,53542,53486,53050,53358,53488,53356,53502,53519,53444,53375,53138,53374,53523,53268,53320,51820,53470,53364,53229,53537,53327,53477,53452,53528,53532,53504,51809,53550,53039,53524,53555,53090
"2014-09-01 07:31:28",53438,53512,53510,53432,53511,53420,53194,53237,53533,53479,53469,53506,53529,53441,53514,53548,53551,53271,53496,53545,53485,53144,53430,53546,53304,53404,53522,53492,53517,53553,53549,53539,53520,53215,53386,53556,53309,53521,53259,53459,53326,53552,53321,53530,53180,53207,53431,53491,53544,53460,53328,53359,53487,53298,53403,53554,53428,53051,53112,53405,53070,53303,53339,53547,53361,53119,53424,53310,53019,53295,53168,53542,53540,53050,53486,53488,53358,53356,53502,53444,53375,53138,53374,53519,53523,53320,51820,53268,53470,53364,53229,53327,53528,53532,51809,53550,53537,53039,53524,53477
"2014-09-01 08:01:28",53438,53512,53510,53432,53420,53533,53506,53237,53479,53194,53369,53529,53469,53514,53548,53441,53551,53271,53496,53545,53538,53144,53485,53430,53404,53546,53304,53557,53522,53549,53517,53539,53556,53520,53309,53558,53259,53386,53492,53559,53552,53215,53207,53326,53459,53431,53321,53530,53491,53359,53521,53180,53487,53554,53403,53119,53428,53298,53070,53328,53051,53544,53112,53361,53560,53405,53303,53547,53310,53168,53540,53460,53019,53358,53486,53424,53542,53375,53444,53364,53519,53268,53050,53320,51820,53502,53138,53374,53470,53537,53039,53327,53356,52960,53504,53229,53090,53389,51796,53089
"2014-09-01 08:31:28",53438,53512,53510,53427,53511,53432,53420,53533,53506,53237,53479,53194,53369,53529,53436,53514,53441,53548,53271,53561,53496,53545,53538,53144,53485,53430,53404,53521,53304,53557,53546,53522,53517,53549,53539,53556,53520,53309,53558,53259,53492,53386,53552,53345,53215,53207,53326,53459,53431,53321,53530,53491,53359,53180,53403,53554,53119,53487,53298,53070,53328,53051,53544,53112,53361,53405,53560,53303,53547,53310,53168,53562,53460,53019,53540,53358,53424,53542,53486,53375,53444,53364,53050,53320,51820,53502,53519,53138,53374,53470,53039,53356,52960,53537,53327,53229,53504,53090,53389,51796
"2014-09-01 09:01:28",53563,53438,53512,53427,53510,53432,53533,53506,53237,53479,53194,53369,53529,53436,53514,53441,53548,53271,53496,53545,53144,53538,53241,53485,53430,53404,53521,53304,53480,53557,53522,53546,53517,53549,53539,53556,53309,53520,53353,53558,53259,53492,53386,53215,53552,53207,53326,53459,53431,53321,53491,53359,53180,53400,53403,53119,53554,53487,53298,53070,53328,53051,53112,53361,53405,53303,53547,53560,53168,53310,53460,53528,53019,53424,53358,53542,53540,53375,53444,53364,53050,53320,51820,53486,53502,53138,53374,53470,53519,53039,53356,52960,53229,53327,53537,53090,53389,51796,53089,53524
"2014-09-01 09:31:28",53438,53512,53563,53427,53510,53511,53432,53533,53506,53237,53479,53194,53369,53529,53436,53514,53441,53548,53271,53496,53545,53144,53538,53485,53241,53430,53404,53304,53521,53557,53480,53522,53546,53517,53549,53539,53556,53309,53353,53558,53259,53552,53492,53386,53215,53345,53207,53326,53459,53431,53321,53530,53491,53359,53396,53180,53400,53403,53119,53554,53298,53487,53070,53328,53051,53544,53112,53361,53405,53303,53564,53168,53310,53460,53528,53019,53424,53542,53375,53444,53358,53364,53050,53540,53320,51820,53502,53138,53374,53470,53486,53565,53566,53039,53356,53519,52960,53229,53504,53090
"2014-09-01 10:01:28",53438,53512,53563,53427,53511,53432,52465,53533,53237,53506,53479,53194,53369,53529,53514,53441,53548,53271,53496,53545,53144,53485,53241,53430,53567,53304,53404,53557,53408,53368,53521,53385,53480,53522,53517,53546,53549,53556,53539,53353,53309,53558,53259,53492,53552,53386,53215,53345,53207,53326,53459,53431,53321,53491,53359,53396,53180,53400,53403,53119,53298,53554,53070,53328,53487,53051,53544,53112,53361,53405,53303,53547,53168,53424,53564,53537,53460,53310,53528,53019,53542,53375,53444,53364,53050,53358,53320,51820,53502,53138,53540,53374,53470,53039,53356,53566,53486,52960,53229,53519
"2014-09-01 10:31:29",53568,53512,53563,53427,53511,53432,53533,53237,53506,53479,53194,53369,53529,53436,53514,53548,53441,53271,53496,53545,53569,53144,53500,53538,53485,53241,53430,53304,53404,53557,53408,53368,53385,53521,53522,53480,53517,53549,53556,53309,53558,53259,53492,53386,53215,53552,53207,53326,53345,53459,53431,53321,53491,53359,53396,53180,53400,53403,53119,53298,53546,53070,53541,53554,53328,53051,53570,53112,53487,53361,53405,53303,53547,53168,53460,53424,53564,53528,53019,53310,53537,53542,53375,53444,53364,53050,53320,51820,53358,53502,53138,53374,53470,53540,53039,53356,52960,53229,53566,53486
"2014-09-01 11:01:28",53388,53568,53563,53512,53427,53511,53432,53453,53538,53533,53237,53479,53506,53529,53514,53548,53441,53271,53496,53569,53545,53144,53500,53485,53304,53430,53404,53408,53385,53521,53557,53368,53571,53522,53539,53406,53517,53549,53353,53558,53556,53309,53492,53386,53215,53259,53552,53207,53459,53345,53321,53431,53400,53403,53359,53180,53396,53298,53491,53070,53428,53546,53051,53544,53541,53554,53328,53112,53361,53405,53303,53547,53119,53487,53572,53528,53019,53460,53310,53560,53424,53570,53542,53168,53537,53444,51820,53358,53375,53470,53364,53050,53374,53320,53138,53229,53356,53540,53505,53566
"2014-09-01 11:31:28",53388,53568,53563,53512,53427,53548,53432,53453,53538,53534,53237,53506,53479,53529,53514,53441,53271,53496,53545,53144,53500,53485,53304,53430,53404,53408,53385,53521,53557,53368,53535,53522,53539,53406,53517,53353,53558,53549,53309,53492,53556,53386,53215,53259,53207,53459,53552,53321,53530,53345,53431,53400,53403,53359,53180,53396,53298,53491,53070,53428,53051,53546,53328,53112,53361,53541,53554,53405,53303,53547,53119,53487,53528,53019,53460,53310,53573,53424,53570,53560,53542,53168,53444,51820,53375,53470,53364,53358,53050,53374,53320,53138,53229,53356,53505,53540,52960,53090,53089,53288
"2014-09-01 12:01:28",53388,53568,53563,53548,53512,53432,53538,53453,53533,53506,53551,53237,53479,53514,53441,53271,53545,53496,53144,53404,53505,53521,53408,53557,53304,53485,53393,53385,53549,53309,53556,53430,53539,53520,53552,53386,53207,53353,53431,53359,53215,53119,53321,53403,53180,53259,53298,53546,53491,53574,53554,53541,53112,53400,53070,53487,53339,53361,53405,53303,53381,53424,53310,53019,53328,53547,53051,53358,53542,53364,53295,53138,53320,53229,53168,53374,53375,53225,52960,53544,53566,53530,53356,53196,53090,53050,51796,53486,53558,53460,53519,53327,53499,53023,53296,53293,51431,53444,53211,53205
"2014-09-01 12:31:29",53388,53568,53563,53438,53427,53548,53432,53512,53538,53453,53533,53506,53441,53514,53237,53479,53321,53529,53271,53545,53144,53496,53241,53259,53404,53430,53505,53521,53304,53368,53485,53480,53374,53309,53549,53522,53556,53353,53539,53517,53431,53386,53554,53215,53520,53298,53575,53552,53119,53314,53459,53359,53558,53180,53492,53403,53364,53576,53070,53546,53574,53051,53488,53541,53491,53530,53225,53112,53168,53019,53405,53361,53303,53487,53310,53560,53424,53328,53395,53375,53295,51796,53358,53211,53444,53050,53138,53268,53547,53320,51820,53544,53573,53570,53229,51784,53039,53577,52960,51809
"2014-09-01 13:01:29",53563,53388,53568,53533,53438,53427,53548,53453,53512,53538,53432,53506,53514,53479,53237,53529,53271,53441,53321,53545,53144,53496,53241,53404,53430,53505,53521,53304,53368,53541,53578,53485,53309,53549,53522,53353,53556,53539,53517,53259,53554,53345,53386,53552,53575,53374,53215,53180,53459,53431,53359,53119,53558,53298,53403,53381,53070,53428,53576,53051,53546,53112,53491,53339,53405,53303,53361,53310,53019,53487,53424,53168,53328,53547,53358,53444,53050,53138,53268,53320,51820,53225,53229,53364,53039,53570,51809,52960,53577,53356,53566,53090,51796,53089,53288,53375,53140,53327,53528,53023
"2014-09-01 13:31:29",53563,53568,53388,53533,53438,53427,53548,53538,53453,53512,53432,53506,53441,53514,53479,53237,53529,53271,53321,53545,53144,53496,53404,53430,53505,53521,53304,53368,53541,53485,53556,53571,53309,53522,53353,53579,53517,53259,53539,53554,53345,53386,53575,53552,53374,53215,53180,53459,53431,53580,53119,53359,53558,53298,53403,53381,53070,53576,53051,53428,53112,53546,53491,53339,53405,53303,53361,53019,53310,53168,53328,53424,53487,53547,53358,53566,53444,53050,53138,53320,51820,53268,53225,53229,53364,53039,53570,51809,52960,53577,53356,53090,51796,53089,53288,53375,53140,53327,53528,53023
"2014-09-01 14:01:29",53563,53568,53388,53512,53533,53438,53581,53548,53582,53538,53453,53432,53506,53479,53237,53514,53271,53144,53545,53496,53404,53505,53557,53521,53485,53541,53393,53304,53556,53571,53430,53309,53575,53579,53583,53386,53321,53539,53353,53345,53554,53552,53431,53119,53359,53180,53259,53215,53298,53574,53403,53381,53112,53428,53070,53339,53405,53546,53328,53491,53547,53303,53019,53361,53051,53310,53424,53542,53364,53295,53487,53358,53138,53229,53566,53320,53168,53374,53375,53225,53268,52960,53544,53530,53356,53584,53196,53090,53050,51796,53558,53460,53327,53023,53296,51431,53444,53211,53205,53348
"2014-09-01 14:31:29",53563,53568,53388,53512,53533,53438,53581,53548,53453,53538,53582,53432,53506,53479,53237,53514,53585,53271,53551,53586,53144,53545,53496,53404,53505,53557,53485,53521,53393,53541,53304,53556,53430,53571,53309,53579,53583,53386,53353,53321,53345,53539,53554,53552,53431,53119,53180,53359,53259,53298,53215,53574,53403,53112,53381,53070,53428,53339,53405,53328,53491,53546,53547,53019,53051,53303,53361,53310,53542,53424,53364,53295,53138,53229,53487,53320,53168,53374,53375,53225,53566,52960,53268,53544,53530,53356,53584,53196,53090,53050,51796,53558,53460,53327,53587,53023,53296,51431,53444,53211
"2014-09-01 15:01:29",53563,53568,53388,53512,53533,53582,52462,53548,53453,53538,53432,53506,53479,53237,53514,53271,53551,53144,53545,53501,53501,53496,53569,53404,53566,53430,53304,53408,53368,53521,53557,53541,53556,53571,53309,53579,53583,53259,53485,53321,53345,53522,53386,53207,53517,53353,53558,53554,53552,53588,53431,53459,53215,53119,53359,53070,53396,53580,53403,53180,53298,53381,53051,53428,53112,53400,53339,53547,53546,53405,53303,53019,53475,53361,53310,53491,53530,53424,53328,53589,53375,53138,53090,53050,53168,53487,53320,53268,51820,53444,53229,53364,51809,52960,53225,53346,53374,53584,53356,53288
"2014-09-01 15:31:29",53563,53388,53568,53533,53512,53582,52462,53438,53453,53548,53480,53538,53590,53432,53506,53545,53514,53479,53237,53591,53271,53551,53321,53144,53501,53496,53592,53404,53566,53368,53521,53430,53541,53304,53593,53556,53522,53309,53571,53345,53579,53588,53485,53353,53554,53552,53580,53180,53575,53431,53215,53359,53259,53403,53298,53381,53517,53428,53112,53070,53339,53119,53019,53361,53310,53051,53491,53303,53459,53328,53589,53584,53138,53090,53320,53594,53229,53487,52960,53364,53375,53424,51809,53374,53547,53196,53356,53444,51796,53050,51431,53587,53542,53023,53296,53072,53205,53293,53140,53211
"2014-09-01 16:01:28",53563,53388,53595,53582,53533,53512,52462,53592,53453,53480,53538,53590,53432,53506,53545,53514,53479,53237,53591,53271,53144,53501,53578,53496,53404,53430,53566,53304,53408,53385,53505,53368,53557,53521,53541,53593,53556,53309,53589,53259,53485,53345,53522,53321,53579,53316,53588,53207,53517,53353,53558,53552,53554,53431,53459,53215,53119,53359,53070,53396,53580,53180,53403,53298,53051,53381,53112,53428,53310,53400,53339,53547,53405,53303,53475,53019,53361,53530,53491,53328,53565,53375,53138,53090,53358,53050,53168,53320,51820,53584,53444,53229,53364,51809,52960,53225,53594,53346,53374,53424
"2014-09-01 16:31:28",53563,53464,53568,53596,53592,53595,53582,53533,53512,52462,53453,53590,53538,53432,53557,53506,53545,53479,53514,53237,53271,53321,53144,53501,53404,53496,53566,53408,53505,53368,53430,53521,53304,53385,53541,53522,53556,53309,53345,53485,53207,53353,53588,53549,53580,53552,53180,53554,53575,53431,53589,53359,53215,53259,53403,53298,53381,53517,53112,53593,53428,53070,53339,53400,53119,53597,53019,53396,53361,53310,53051,53546,53303,53459,53328,53138,53090,53565,53358,53491,53229,53320,53584,52960,53364,53375,53594,51809,53374,53547,53196,53356,53487,53444,51796,53424,53050,52452,51431,53542
"2014-09-01 17:01:29",53563,53464,53568,53596,53582,53592,53512,53533,53438,53453,53578,53590,53538,53432,53506,53545,53479,53514,53237,53271,53598,53321,53144,53501,53404,53496,53597,53566,53599,53368,53505,53430,53304,53521,53522,53541,53309,53588,53556,53485,53353,53580,53549,53180,53575,53552,53431,53554,53359,53589,53215,53259,53298,53403,53517,53112,53593,53381,53070,53339,53428,53119,53019,53051,53361,53310,53303,53459,53328,53546,53600,53138,53090,53358,53565,53229,53320,52960,53364,53584,53491,53375,51809,53374,53547,53594,53196,53356,53444,51796,53050,53487,51431,53424,52452,53542,53023,53296,53072,53205
"2014-09-01 17:31:28",53563,53464,53596,53568,53582,53533,53512,53592,53453,53480,53590,53578,53538,53601,53602,53432,53545,53557,53506,53479,53514,53271,53321,53144,53501,53496,53404,53513,53597,53566,53368,53430,53505,53304,53522,53521,53541,53309,53556,53485,53353,53580,53549,53180,53431,53552,53359,53589,53215,53259,53298,53403,53517,53306,53112,53070,53381,53339,53119,53310,53428,53019,53593,53051,53303,53361,53459,53328,53138,53090,53584,53546,53600,53229,53358,53320,52960,53565,53364,53375,51809,53491,53374,53547,53196,53356,53444,53487,51796,53050,53594,51431,53424,53542,53023,53296,52452,53072,53205,53140
"2014-09-01 18:01:28",53563,53592,53464,53568,53596,53533,53512,53438,53453,53590,53538,53601,53602,53598,53432,53506,53545,53514,53479,53237,53271,53144,53603,53599,53496,53501,53430,53404,53304,53597,53557,53505,53566,53521,53541,53309,53259,53485,53522,53556,53517,53353,53558,53321,53552,53431,53459,53215,53119,53549,53070,53580,53180,53298,53403,53589,53051,53112,53339,53547,53381,53303,53475,53019,53310,53361,53428,53530,53491,53328,53375,53138,53090,53050,53168,53320,51820,53444,53358,53229,53364,53604,51809,52960,53546,53600,53225,53346,53374,53424,53356,53288,53089,51796,53542,53140,51431,53487,53296,53023
"2014-09-01 18:31:28",53563,53464,53592,53582,53568,53590,53533,53512,53453,53438,53538,53598,53480,53605,53432,53506,53545,53514,53479,53237,53603,53271,53144,53599,53496,53430,53501,53404,53597,53304,53557,53505,53566,53259,53485,53521,53309,53541,53522,53517,53353,53558,53556,53321,53552,53431,53459,53215,53119,53549,53554,53070,53580,53180,53298,53403,53051,53589,53112,53339,53547,53303,53475,53019,53381,53361,53310,53428,53530,53491,53328,53375,53138,53090,53606,53050,53168,53320,51820,53444,53229,53364,53358,51809,52960,53584,53225,53374,53424,53546,53600,53356,53288,53089,51796,53542,53140,51431,53296,53023
"2014-09-01 19:01:28",53563,53464,53582,53592,53568,53590,53533,52462,53453,53438,53538,53480,53512,53432,53545,53514,53506,53479,53237,53603,53271,53441,53144,53607,53599,53474,53496,53501,53404,53497,53608,53304,53597,53430,53505,53572,53567,53566,53557,53309,53521,53541,53485,53353,53259,53556,53386,53609,53539,53431,53558,53549,53554,53459,53522,53606,53517,53403,53070,53215,53552,53112,53589,53298,53051,53180,53339,53547,53119,53580,53381,53475,53019,53361,53310,53428,53303,51820,53444,53295,53168,53138,53584,53424,53358,53225,53375,53364,53050,53320,53229,51809,52960,53328,53546,53600,53356,51431,53090,53374
"2014-09-01 19:31:29",53563,53592,53464,53596,53590,53568,53533,52462,53453,53473,53610,53538,53480,53611,53512,53432,53545,53514,53506,53479,53237,53603,53271,53554,53144,53607,53427,53474,53612,53513,53496,53501,53404,53497,53304,53608,53597,53430,53505,53613,53566,53567,53572,53557,53309,53485,53521,53541,53353,53259,53345,53386,53606,53609,53539,53431,53558,53459,53522,53517,53549,53403,53070,53552,53112,53575,53215,53298,53051,53604,53180,53589,53339,53547,53119,53580,53381,53475,53019,53361,53310,53303,53428,51820,53444,53295,53168,53138,53424,53225,53375,53364,53358,53584,53050,53320,53229,51809,52960,53328
"2014-09-01 20:01:28",53614,53592,53464,53596,53590,53568,53533,53453,53438,53611,53480,53538,53512,53432,53546,53545,53506,53520,53605,53554,53603,53237,53514,53271,53479,53441,53144,53557,53607,53612,53496,53404,53501,53608,53597,53497,53613,53513,53566,53572,53606,53505,53474,53304,53615,53393,53309,53521,53541,53430,53353,53609,53522,53485,53549,53580,53604,53215,53259,53306,53589,53403,53575,53616,53112,53431,53180,53381,53617,53310,53070,53119,53339,53428,53019,53051,53618,53459,53361,53298,53303,53138,53358,53090,53584,52960,53229,53320,53364,53328,53375,53600,53374,53196,51796,51431,53356,53050,53444,53487
"2014-09-01 20:31:28",53592,53596,53464,53563,53590,53568,53533,53496,53453,53438,53611,53480,53538,53512,53432,53546,53545,53506,53520,53605,53554,53603,53237,53271,53514,53479,53441,53144,53557,53607,53612,53404,53566,53501,53608,53497,53513,53613,53572,53505,53606,53474,53304,53393,53615,53309,53430,53541,53521,53597,53353,53522,53609,53485,53580,53549,53259,53215,53604,53403,53306,53575,53589,53112,53618,53431,53616,53180,53070,53381,53119,53339,53617,53428,53019,53051,53459,53310,53361,53358,53298,53303,53138,53090,53584,52960,53229,53320,53364,53328,53375,53374,53196,51796,51431,53600,53356,53050,53444,53296
"2014-09-01 21:01:28",53592,53464,53596,53563,53590,53568,53605,53533,53496,53480,53453,53438,53611,53538,53512,53432,53545,53546,53520,53506,53554,53603,53271,53514,53479,53441,53144,53557,53607,53612,53404,53501,53566,53608,53497,53513,53505,53572,53613,53606,53474,53304,53393,53488,53309,53615,53430,53618,53541,53521,53353,53597,53522,53485,53609,53580,53549,53259,53575,53403,53215,53306,53604,53112,53431,53589,53180,53616,53070,53119,53339,53381,53617,53019,53428,53051,53459,53310,53361,53298,53303,53138,53358,53090,52960,53229,53584,53320,53364,53328,53375,53374,53196,51796,51431,53356,53050,53444,53296,53023
